cell_id,pred_phase,pred_age
cell_0444,G1,152.0069333
cell_0445,S,370.6965333
cell_0450,G1,688.9189333
cell_0452,G1,96.58826667
cell_0453,G1,145.9488
cell_0454,G1,136.1450667
cell_0455,G1,12.87626667
cell_0457,S,395.3338667
cell_0462,S,696.1914667
cell_0463,S,456.4218667
cell_0464,S,409.8314667
cell_0466,G1,158.4581333
cell_0468,S,574.4213333
cell_0469,G1,173.968
cell_0470,G1,214.1413333
cell_0471,G1,167.1765333
cell_0472,G1,15.1216
cell_0473,G1,229.7770667
cell_0474,G1,175.9354667
cell_0476,G1,637.5605333
cell_0478,G1,272.0016
cell_0480,G1,142.2549333
cell_0483,G1,66.93173333
cell_0485,G1,27.28586667
cell_0486,G1,178.3594667
cell_0488,G2,995.4234667
cell_0489,G2,1037.779733
cell_0492,G1,161.6896
cell_0493,G1,183.2154667
cell_0495,G1,172.1989333
cell_0497,G1,239.1856
cell_0498,G1,130.7994667
cell_0499,G1,170.2293333
cell_0502,S,432.6634667
cell_0503,S,465.9168
cell_0505,S,557.7024
cell_0509,G1,240.7488
cell_0510,S,583.8149333
cell_0516,G1,371.9669333
cell_0519,G1,113.2794667
cell_0521,G1,310.1658667
cell_0526,S,659.2298667
cell_0528,G2,845.5082667
cell_0529,G1,184.4581333
cell_0530,G1,343.048
cell_0532,G1,256.2682667
cell_0533,S,725.7168
cell_0535,G1,245.704
cell_0536,G1,222.1504
cell_0539,G1,253.9648
cell_0540,G1,250.2053333
cell_0542,G1,151.3909333
cell_0551,G1,160.9168
cell_0553,G2,1008.4112
cell_0554,G1,207.024
cell_0555,S,715.9402667
cell_0556,S,456.0656
cell_0558,G1,142.9701333
cell_0559,S,606.2837333
cell_0560,S,405.8581333
cell_0561,G1,184.9546667
cell_0562,G1,252.7978667
cell_0565,G1,138.3354667
cell_0567,G1,119.6794667
cell_0568,G1,288.9162667
cell_0571,G1,203.0416
cell_0573,G1,252.7696
cell_0576,G1,952.1482667
cell_0577,G1,143.8810667
cell_0581,S,518.7344
cell_0583,G1,167.2458667
cell_0584,G1,328.8026667
cell_0585,G1,214.8362667
cell_0586,G2,835.8096
cell_0588,G1,257.7557333
cell_0589,S,631.7552
cell_0591,G1,119.8981333
cell_0593,G1,204.0245333
cell_0594,G2,983.184
cell_0595,G1,228.7301333
cell_0596,S,392.1184
cell_0597,G1,45.36693333
cell_0599,S,684.2538667
cell_0600,G1,210.1722667
cell_0602,G1,235.2858667
cell_0603,G1,196.4554667
cell_0605,G1,143.6117333
cell_0609,G2,979.3253333
cell_0612,S,570.9269333
cell_0614,S,452.1226667
cell_0615,G1,194.2917333
cell_0620,G2,871.2698667
cell_0623,S,722.6128
cell_0624,G2,955.4698667
cell_0625,G1,869.7594667
cell_0627,G2,1052.863467
cell_0631,G1,213.7392
cell_0632,G1,218.8336
cell_0634,G2,1078.102933
cell_0637,G1,254.2581333
cell_0640,S,424.6661333
cell_0642,G1,145.5856
cell_0644,G1,130.5744
cell_0646,G1,177.8272
cell_0648,S,431.6842667
cell_0650,G1,324.6912
cell_0652,G2,938.6570667
cell_0656,G1,146.3984
cell_0657,G1,251.7338667
cell_0658,S,365.7786667
cell_0661,G1,132.3776
cell_0662,G1,518.3093333
cell_0664,G1,218.7104
cell_0671,G1,286.7349333
cell_0673,G2,1103.4208
cell_0675,G1,121.9354667
cell_0677,S,404.3589333
cell_0678,S,430.7024
cell_0681,S,412.0992
cell_0683,S,507.9989333
cell_0684,G1,116.9669333
cell_0685,G1,207.9754667
cell_0686,S,453.9765333
cell_0688,G2,955.0304
cell_0692,G1,1103.4864
cell_0693,S,490.5306667
cell_0695,G1,494.2213333
cell_0697,G1,142.9738667
cell_0698,G1,153.5946667
cell_0699,S,417.1829333
cell_0700,S,533.7552
cell_0704,S,437.1253333
cell_0705,G1,324.4197333
cell_0707,G2,1025.2224
cell_0709,S,385.7018667
cell_0713,S,667.6677333
cell_0717,S,406.0810667
cell_0719,G1,165.8346667
cell_0721,G1,146.6709333
cell_0722,S,450.1301333
cell_0723,S,882.9333333
cell_0725,G1,162.8709333
cell_0726,G1,258.7525333
cell_0727,G1,201.0901333
cell_0729,G2,992.7973333
cell_0730,G1,168.7845333
cell_0731,G1,144.7653333
cell_0733,G1,152.3450667
cell_0734,S,613.7082667
cell_0736,G1,174.9205333
cell_0737,G1,199.4421333
cell_0739,G1,196.1397333
cell_0743,S,483.544
cell_0744,G1,186.1866667
cell_0746,G1,139.304
cell_0747,G1,134.2544
cell_0749,G2,987.7626667
cell_0752,G1,151.5792
cell_0754,S,571.8346667
cell_0755,G1,153.5018667
cell_0756,S,349.5802667
cell_0757,G1,903.9445333
cell_0758,G1,179.9296
cell_0761,S,565.6506667
cell_0763,S,650.2096
cell_0764,G1,294.8944
cell_0765,S,407.0005333
cell_0766,G2,999.8085333
cell_0770,G1,262.4757333
cell_0771,G1,161.8810667
cell_0772,G1,262.3269333
cell_0773,G1,203.2384
cell_0774,G1,115.4613333
cell_0776,G1,148.4096
cell_0777,G1,143.7722667
cell_0779,S,421.2298667
cell_0781,G1,155.9082667
cell_0782,G1,67.96106667
cell_0784,G1,259.1637333
cell_0785,S,481.0453333
cell_0788,G1,48.07946667
cell_0792,S,463.4213333
cell_0793,G1,224.6597333
cell_0794,G1,35.52746667
cell_0796,G2,945.7578667
cell_0797,S,378.6666667
cell_0801,S,499.9141333
cell_0803,G1,318.4698667
cell_0804,G1,221.9322667
cell_0805,G2,950.8458667
cell_0807,G1,147.6816
cell_0808,S,708.6469333
cell_0809,G1,265.7066667
cell_0810,S,773.0357333
cell_0811,S,698.0272
cell_0812,G1,235.5674667
cell_0814,G2,945.728
cell_0815,G1,273.5130667
cell_0816,S,718.3274667
cell_0817,G2,929.6613333
cell_0818,G2,1070.084267
cell_0820,G1,190.2656
cell_0822,G1,179.8197333
cell_0823,G2,946.0570667
cell_0824,G1,178.4565333
cell_0825,G1,136.9061333
cell_0826,S,528.8144
cell_0827,G1,24.4416
cell_0828,S,750.7461333
cell_0829,G1,161.4885333
cell_0830,G1,218.5477333
cell_0831,G1,173.8346667
cell_0834,G1,119.6821333
cell_0836,G1,151.832
cell_0839,G1,177.4906667
cell_0841,G1,198.9738667
cell_0844,G1,213.304
cell_0845,G1,239.5872
cell_0849,G1,132.1168
cell_0850,G1,181.5136
cell_0851,G1,286.2181333
cell_0852,S,672.8693333
cell_0853,S,490.4021333
cell_0855,G1,106.9738667
cell_0857,G1,105.8037333
cell_0861,G1,183.8661333
cell_0862,S,736.3866667
cell_0863,G1,101.7637333
cell_0866,G1,397.2554667
cell_0867,G1,207.4144
cell_0868,G1,198.7477333
cell_0869,G2,860.1344
cell_0870,G2,1049.3968
cell_0873,S,740.7733333
cell_0874,G1,689.3173333
cell_0875,G1,255.8949333
cell_0876,G2,922.7493333
cell_0877,S,410.6170667
cell_0878,S,712.856
cell_0880,G1,213.6576
cell_0881,G2,811.8416
cell_0884,G1,259.9525333
cell_0889,G1,19.42346667
cell_0892,G1,543.3146667
cell_0893,S,774.4821333
cell_0896,G1,133.0373333
cell_0897,S,783.4512
cell_0902,G2,1113.8416
cell_0903,S,483.7397333
cell_0904,G1,226.2928
cell_0905,G2,956.7792
cell_0906,G1,297.9248
cell_0910,G1,226.9808
cell_0911,G2,928.1088
cell_0914,G1,25.648
cell_0915,G1,164.0346667
cell_0916,G1,174.2581333
cell_0921,G2,1044.9744
cell_0924,S,687.7664
cell_0925,S,669.8981333
cell_0928,G1,481.0250667
cell_0930,S,672.4944
cell_0934,S,529.2496
cell_0935,G1,151.0650667
cell_0939,G1,280.7125333
cell_0940,G1,144.2837333
cell_0941,G1,14.8608
cell_0942,G1,166.4101333
cell_0943,G1,123.6405333
cell_0945,S,806.2832
cell_0947,G1,184.2517333
cell_0951,S,492.5077333
cell_0952,G1,153.5098667
cell_0953,G1,221.4746667
cell_0954,S,663.6485333
cell_0955,G1,52.3248
cell_0956,G2,976.9696
cell_0958,G2,910.9210667
cell_0961,G1,146.0250667
cell_0962,G1,13.82666667
cell_0963,G1,140.9322667
cell_0964,G2,885.4058667
cell_0965,G1,226.3941333
cell_0967,S,594.5354667
cell_0968,G1,51.76426667
cell_0970,S,795.1290667
cell_0971,G1,224.352
cell_0972,G1,267.7994667
cell_0973,G1,557.7413333
cell_0978,S,659.5834667
cell_0979,G1,34.41493333
cell_0980,G1,273.36
cell_0981,G1,143.3765333
cell_0983,G1,251.8661333
cell_0986,G1,176.9781333
cell_0987,S,474.1210667
cell_0988,G1,17.16053333
cell_0990,G2,1020.388267
cell_0991,G1,201.6704
cell_0993,G1,803.2096
cell_0994,G1,563.0928
cell_0995,G1,172.3792
cell_0996,G1,175.6330667
cell_0997,S,551.0608
cell_0998,G1,225.6064
cell_1000,G1,154.488
cell_1001,G2,843.0762667
cell_1002,S,634.2837333
cell_1003,G2,978.4069333
cell_1004,G1,147.6202667
cell_1005,G1,190.3648
cell_1006,S,391.1568
cell_1007,G2,937.6474667
cell_1009,S,432.76
cell_1010,G1,198.9648
cell_1011,G1,205.7904
cell_1012,G1,60.58026667
cell_1014,G1,50.7152
cell_1017,G1,151.7082667
cell_1018,G2,1086.574933
cell_1020,S,393.9408
cell_1021,S,425.4352
cell_1023,G1,158.4842667
cell_1024,G1,16.40053333
cell_1025,G2,977.7029333
cell_1028,G1,135.8298667
cell_1029,S,436.6944
cell_1031,S,498.0261333
cell_1033,S,396.8
cell_1034,S,430.4805333
cell_1036,G1,142.144
cell_1039,G1,20.51626667
cell_1041,S,645.3077333
cell_1043,G1,170.4736
cell_1044,G1,197.7994667
cell_1050,G2,876.5301333
cell_1052,G1,226.5296
cell_1053,G1,168.3178667
cell_1054,G1,26.1376
cell_1055,G1,21.2576
cell_1056,G1,165.2538667
cell_1059,G1,139.1808
cell_1060,G1,173.7194667
cell_1061,S,658.8368
cell_1062,G1,151.4757333
cell_1063,G1,229.4624
cell_1065,G2,950.8741333
cell_1066,G1,174.5824
cell_1067,G1,246.8917333
cell_1068,G1,166.6837333
cell_1069,G1,185.7888
cell_1070,G1,178.2746667
cell_1071,G1,193.1456
cell_1072,G1,166.6021333
cell_1075,G1,148.7898667
cell_1076,S,686.2581333
cell_1079,G2,954.9674667
cell_1080,S,721.3061333
cell_1081,G1,86.12853333
cell_1083,G1,158.4906667
cell_1086,G1,568.0213333
cell_1087,G1,64.16586667
cell_1089,G2,921.4016
cell_1090,S,821.1882667
cell_1092,S,461.5237333
cell_1093,G2,978.7477333
cell_1094,S,617.9728
cell_1095,G1,258.0389333
cell_1098,S,458.6309333
cell_1099,G1,196.7642667
cell_1103,G1,302.7098667
cell_1104,S,409.5562667
cell_1105,G1,192.5141333
cell_1106,G1,628.5109333
cell_1108,G1,254.608
cell_1109,G1,143.8384
cell_1110,G2,931.6474667
cell_1112,G1,174.0688
cell_1113,G1,155.2437333
cell_1115,G2,967.4853333
cell_1116,S,777.3653333
cell_1118,G1,180.1973333
cell_1119,G1,124.7429333
cell_1120,G1,146.6602667
cell_1121,G1,596.4112
cell_1123,G1,147.7386667
cell_1124,G1,153.5242667
cell_1126,G1,133.2682667
cell_1127,G1,182.3536
cell_1128,G2,937.9717333
cell_1133,S,530.1066667
cell_1134,G1,170.9392
cell_1135,G1,145.0218667
cell_1137,G1,229.2997333
cell_1140,G1,179.0026667
cell_1143,G2,980.7701333
cell_1144,G1,197.9845333
cell_1148,S,733.0645333
cell_1149,S,391.1109333
cell_1150,S,527.4416
cell_1152,G2,949.4122667
cell_1153,G1,383.616
cell_1155,G1,111.0682667
cell_1156,S,537.2016
cell_1157,S,460.5445333
cell_1158,S,669.5456
cell_1159,S,671.7077333
cell_1160,G2,930.2794667
cell_1161,S,430.7925333
cell_1163,G1,308.9925333
cell_1166,G1,155.3712
cell_1168,G1,206.1221333
cell_1169,G1,769.0784
cell_1171,G2,1009.688
cell_1172,G1,138.0405333
cell_1177,G1,167.6341333
cell_1179,S,599.8837333
cell_1181,G1,821.5434667
cell_1182,S,560.5466667
cell_1183,G1,151.6709333
cell_1184,G1,74.2384
cell_1186,S,623.1450667
cell_1187,G2,997.688
cell_1189,S,681.9482667
cell_1192,S,685.9637333
cell_1193,G1,754.2741333
cell_1194,G1,346.8741333
cell_1195,G1,227.4016
cell_1198,G2,953.2053333
cell_1199,G2,917.9568
cell_1200,G1,229.2890667
cell_1203,S,485.824
cell_1205,G1,481.3322667
cell_1207,G1,495.5077333
cell_1208,G1,179.1834667
cell_1209,S,421.384
cell_1210,G1,781.2282667
cell_1211,S,840.3210667
cell_1212,G1,202.3536
cell_1213,G1,140.5957333
cell_1214,G1,285.5018667
cell_1216,S,438.3589333
cell_1217,G2,1037.3888
cell_1218,G1,468.016
cell_1219,G1,967.2890667
cell_1221,S,405.8416
cell_1222,S,453.7141333
cell_1223,S,755.4650667
cell_1229,S,767.1637333
cell_1231,G1,168.4858667
cell_1232,S,630.0048
cell_1234,G2,950.8064
cell_1235,G1,109.9802667
cell_1236,G2,949.6336
cell_1237,G1,238.3424
cell_1242,G1,177.5221333
cell_1247,G1,150.0821333
cell_1249,G1,227.9973333
cell_1250,S,659.6528
cell_1251,G1,154.5973333
cell_1252,G1,208.6602667
cell_1253,G1,868.4890667
cell_1254,G1,82.30346667
cell_1255,S,661.4816
cell_1258,S,386.5445333
cell_1261,S,706.1866667
cell_1262,S,644.5722667
cell_1266,S,360.0533333
cell_1269,S,561.1392
cell_1271,G1,113.0618667
cell_1272,S,391.9130667
cell_1273,S,574.6416
cell_1275,G1,228.9973333
cell_1276,G1,878.7408
cell_1277,G1,145.6069333
cell_1278,G1,362.8741333
cell_1279,G1,277.7461333
cell_1280,G1,231.2928
cell_1281,G1,291.0058667
cell_1282,G1,191.3776
cell_1286,G1,25.232
cell_1287,G2,1080.551467
cell_1288,G1,148.8405333
cell_1290,G1,20.48746667
cell_1292,G1,304.4789333
cell_1295,G1,104.568
cell_1297,G2,922.5952
cell_1299,G1,216.1493333
cell_1300,G1,91.88906667
cell_1303,G2,982.9978667
cell_1305,G1,149.1898667
cell_1307,S,399.2378667
cell_1308,G1,229.1306667
cell_1309,G1,276.7312
cell_1311,G1,196.9098667
cell_1312,G1,221.2853333
cell_1314,G1,872.2128
cell_1316,G1,23.8592
cell_1317,S,436.1285333
cell_1318,G1,218.1178667
cell_1319,S,425.7354667
cell_1320,G2,892.6362667
cell_1321,S,749.6672
cell_1323,G1,318.8458667
cell_1324,G2,876.6725333
cell_1325,G1,836.9082667
cell_1327,G1,187.976
cell_1328,G1,33.47093333
cell_1331,G1,13.38826667
cell_1334,G1,183.7082667
cell_1335,S,387.8938667
cell_1336,G1,282.4682667
cell_1337,G2,979.4064
cell_1339,G1,263.3850667
cell_1344,G2,958.9429333
cell_1345,G1,216.3434667
cell_1346,S,550.2165333
cell_1349,G1,248.8736
cell_1352,S,387.6122667
cell_1353,G1,145.9776
cell_1355,G1,159.2570667
cell_1356,G2,954.2421333
cell_1358,G1,183.3530667
cell_1362,G1,305.2416
cell_1364,G2,981.7472
cell_1365,G1,197.4736
cell_1366,G1,151.6650667
cell_1367,S,619.5850667
cell_1368,G1,129.2245333
cell_1369,G1,169.4869333
cell_1371,G1,156.1904
cell_1372,G1,565.9552
cell_1375,S,376.4944
cell_1376,G1,210.5866667
cell_1378,G1,196.0842667
cell_1379,S,454.6106667
cell_1381,G1,23.58986667
cell_1382,G1,175.8202667
cell_1385,G1,786.8848
cell_1391,G2,896.5210667
cell_1392,G2,976.1952
cell_1393,G1,187.3072
cell_1394,G2,993.872
cell_1396,G1,37.32213333
cell_1397,G1,101.8533333
cell_1398,S,722.7605333
cell_1400,S,369.2266667
cell_1401,S,396.9925333
cell_1402,S,679.2410667
cell_1403,S,372.9994667
cell_1405,G1,192.7749333
cell_1407,G1,162.8986667
cell_1408,G1,251.5317333
cell_1412,G2,982.944
cell_1414,G1,218.3429333
cell_1415,G1,264.8544
cell_1416,G1,15.92533333
cell_1418,G1,232.7029333
cell_1423,S,683.1045333
cell_1424,S,663.4528
cell_1425,G1,257.1605333
cell_1426,G1,167.4789333
cell_1427,S,759.6144
cell_1428,S,437.7893333
cell_1429,G1,161.0368
cell_1430,S,418.5866667
cell_1432,G1,36.22346667
cell_1434,G1,204.3258667
cell_1435,G2,1127.4112
cell_1436,G1,290.4256
cell_1439,G1,276.4421333
cell_1440,S,389.8149333
cell_1447,G1,92.42453333
cell_1448,S,739.7808
cell_1450,S,675.5194667
cell_1452,S,790.0309333
cell_1453,G1,274.9882667
cell_1454,G2,1036.9056
cell_1458,G2,970.9008
cell_1460,S,467.1210667
cell_1462,G1,138.1856
cell_1464,S,715.4730667
cell_1466,S,555.2245333
cell_1469,G1,616.5317333
cell_1470,G1,189.5733333
cell_1472,S,462.9861333
cell_1473,G1,296.3712
cell_1475,S,736.8128
cell_1477,G1,245.7008
cell_1485,G1,593.232
cell_1486,G1,871.8058667
cell_1489,S,787.0453333
cell_1490,S,399.8234667
cell_1491,G1,219.5242667
cell_1495,G2,908.8730667
cell_1496,S,695.4965333
cell_1499,S,396.7248
cell_1500,S,392.1861333
cell_1501,G1,194.9328
cell_1504,S,480.6389333
cell_1506,G2,950.976
cell_1507,G1,400.7098667
cell_1510,G2,881.52
cell_1511,G1,26.8816
cell_1512,G1,119.5797333
cell_1514,G2,996.8672
cell_1515,S,397.0832
cell_1516,G2,1005.758933
cell_1521,G1,242.7637333
cell_1523,G1,36.30613333
cell_1526,G1,42.00533333
cell_1529,S,389.7845333
cell_1530,S,552.5754667
cell_1531,G1,225.8042667
cell_1532,G1,124.2426667
cell_1535,S,418.3477333
cell_1537,S,491.6944
cell_1538,G2,910.3509333
cell_1540,S,412.0661333
cell_1541,G1,256.0112
cell_1542,S,386.48
cell_1543,G1,122.3312
cell_1544,G1,218.9658667
cell_1546,G1,155.7914667
cell_1547,G1,195.8010667
cell_1551,S,362.8469333
cell_1553,G1,179.6165333
cell_1554,G1,178.7189333
cell_1555,S,537.6661333
cell_1556,G1,289.904
cell_1559,S,411.6304
cell_1561,G1,48.17013333
cell_1562,G1,200.2784
cell_1564,G1,86.40426667
cell_1569,G2,1036.029333
cell_1570,S,448.2666667
cell_1573,G1,239.1546667
cell_1574,G1,158.3845333
cell_1575,G1,18.27146667
cell_1577,S,425.8474667
cell_1579,G1,54.19093333
cell_1580,G1,141.5504
cell_1581,G1,130.1850667
cell_1583,G1,27.6512
cell_1584,G1,149.7744
cell_1587,G1,261.5402667
cell_1589,G2,946.0485333
cell_1590,G1,15.78613333
cell_1591,G1,46.63466667
cell_1592,G1,171.2266667
cell_1593,S,513.8976
cell_1594,G1,231.1973333
cell_1595,G2,1016.5376
cell_1599,S,512.792
cell_1601,G1,46.85866667
cell_1604,G1,269.2762667
cell_1605,S,612.7904
cell_1606,G1,215.5664
cell_1608,G1,445.0042667
cell_1611,G1,127.6730667
cell_1612,S,673.1882667
cell_1613,G2,1056.325333
cell_1614,S,652.4405333
cell_1616,G1,72.92533333
cell_1618,G1,195.8362667
cell_1619,G1,195.7984
cell_1620,G1,240.0026667
cell_1624,G1,67.224
cell_1625,G1,19.7136
cell_1627,G1,922.9024
cell_1628,S,382.6442667
cell_1629,G1,103.1957333
cell_1630,G1,126.9936
cell_1631,G1,145.4032
cell_1632,G1,180.1946667
cell_1637,S,390.3664
cell_1640,G1,287.0549333
cell_1641,G2,999.4405333
cell_1642,G1,300.2554667
cell_1644,G1,192.8944
cell_1646,G1,327.1584
cell_1647,G1,96.45386667
cell_1648,G1,182.8896
cell_1649,G1,239.1637333
cell_1650,G1,932.8826667
cell_1655,S,671.9696
cell_1656,G1,231.0101333
cell_1657,G1,539.7754667
cell_1659,G1,234.1434667
cell_1660,S,778.0970667
cell_1661,S,360.6501333
cell_1662,G1,102.7648
cell_1663,G1,162.2186667
cell_1665,G1,294.4186667
cell_1666,G1,173.2565333
cell_1669,S,523.3696
cell_1670,S,364.5648
cell_1673,S,696.2522667
cell_1677,G1,262.5621333
cell_1678,S,679.4186667
cell_1679,S,442.8837333
cell_1680,G1,276.4448
cell_1681,G1,250.3968
cell_1682,S,646.8944
cell_1683,S,674.0896
cell_1684,S,393.6138667
cell_1686,G1,80.328
cell_1687,G1,861.2661333
cell_1688,G2,904.4005333
cell_1689,S,562.2
cell_1690,G1,129.1488
cell_1691,G1,264.16
cell_1692,S,366.664
cell_1695,G1,792.8688
cell_1696,S,778.6410667
cell_1697,G1,268.9690667
cell_1701,G1,49.84213333
cell_1704,G1,142.2485333
cell_1707,G1,123.3514667
cell_1708,G1,192.2698667
cell_1710,G1,194.5589333
cell_1711,G1,23.8032
cell_1713,S,594.1050667
cell_1714,G1,543.8090667
cell_1716,G1,115.6906667
cell_1718,S,428.5376
cell_1720,G1,226.0378667
cell_1721,G2,879.6410667
cell_1722,G1,10.264
cell_1723,G1,141.5936
cell_1724,S,664.5962667
cell_1726,G1,169.1621333
cell_1727,S,650.9946667
cell_1728,G1,157.3184
cell_1729,S,389.5770667
cell_1732,G1,19.2992
cell_1733,G1,28.06933333
cell_1735,G2,1095.8128
cell_1736,G1,177.3888
cell_1737,S,401.8304
cell_1739,G1,76.99093333
cell_1740,G1,201.4437333
cell_1743,S,529.8026667
cell_1745,G2,904.7546667
cell_1748,G1,303.5066667
cell_1749,G2,928.3418667
cell_1752,G1,20.16373333
cell_1753,G1,275.7877333
cell_1756,G1,167.1802667
cell_1757,S,389.4048
cell_1758,G1,117.5482667
cell_1759,G1,312.7941333
cell_1762,G1,190.2298667
cell_1763,G2,1000.730667
cell_1764,G1,155.3146667
cell_1765,G1,57.83733333
cell_1767,G2,958.6965333
cell_1769,G1,140.1808
cell_1770,S,783.1024
cell_1771,G2,831.3178667
cell_1772,G1,220.8938667
cell_1773,G1,110.1077333
cell_1777,S,687.6522667
cell_1779,G2,816.1413333
cell_1780,G2,921.8405333
cell_1781,G1,69.4144
cell_1782,G2,946.0453333
cell_1783,G2,1002.606933
cell_1784,S,404.5029333
cell_1786,G1,144.3392
